Security_Cam_BOM
Security Cam BOM,,,,
Item,Price ($),Quantity,Link,Description
OV5647 Camera,$20.96,1,https://www.aliexpress.us/item/3256806656961286.html,Camera used to capture security footage
1N4148 Diodes,$1.48,1,https://www.aliexpress.us/item/2255799955957794.html,Diodes for pcb
Motion Sensor,$1.58,1,https://www.aliexpress.us/item/3256807881009549.html,Turns on cam when senses motion
Raspberry Pi Zero 2,$15.00,1,https://www.seeedstudio.com/Raspberry-Pi-Zero-2-W-p-5197.html,Sends data from cam over to computer
Micro SD (32G),$7.69,1,https://shop.sandisk.com/products/memory-cards/microsd-cards/sandisk-ultra-uhs-i-microsd?sku=SDSQUNC-032G-AN6MA,For raspi to hold video
XIAO ESP32-C3,$4.99,1,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html,Microcontroller in numpad (sends signal to raspi)
Cherry MX Switches,$4.79,2,https://a.co/d/3V39xDp,Weirdly cheaper than on Ali 
OLED 0.91 Display,$1.96,1,https://www.aliexpress.us/item/3256805114690528.html,Display for numpad 
7 Pin Header,$0.20,1,https://www.seeedstudio.com/XIAO-Series-7-Pin-Male-Header-5-pcs-p-5460.html,To solder Xiao onto pub
Pin Header (for motion sensor),$1.49,1,https://www.aliexpress.us/item/2251832777957007.html,So the motion sensor sits slightly above the case of numpad
DSA Keycaps,$3.29,1,https://www.aliexpress.us/item/3256805819590269.html,Keycapz for cherry mx
Raspi Case Screws,$1.63,1,https://www.aliexpress.us/item/2251832787469395.html,Screws so it doesn’t open
Raspi Case Heatsets,$2.00,1,https://www.aliexpress.us/item/3256807466816961.html,Heatsets for bottom of case
Numpad Screws,$1.73,1,https://www.aliexpress.us/item/3256806737710687.html,Screws so it doesn’t open
Numpad Heatsets,$2.16,1,https://www.aliexpress.us/item/3256803396040989.html,Heatsets for bottom of case
Micro USB Cable,$1.74,1,https://www.aliexpress.us/item/3256805800230315.html,To connect raspi to comp
Micro SD Card Reader ,$1.25,1,https://www.aliexpress.us/item/2251832695439636.html,To delete footage from sd card when storage is full
PCB (pcbway),$23.76,1,https://www.pcbway.com/,PCB for numpad
Shipping (added),$24.42,,,"PCB - $6.62, Ali - $8.74, Seeed - $9.06"
Sales Tax (added),$4.26,,,"Sandisk - $0.32, Ali - $1.60, Seeed - $2.34"
Discounts (added),-$24.97,,,"Ali: -$19.97, Seeed: -$5"
Grand Total,$106.20,,,
